# turbine_id yaw
0 191.5
1 191.5
2 191.5
3 191.5
4 191.5
5 191.5
6 191.5
7 191.5
8 191.5
9 191.5
10 191.5
11 191.5
12 191.5
13 191.5
14 191.5
15 191.5
16 191.5
17 191.5
18 191.5
19 191.5
20 191.5
21 191.5
22 191.5
23 191.5
24 191.5
25 191.5
26 191.5
27 191.5
28 191.5
29 191.5
30 191.5
31 191.5
32 191.5
33 191.5
34 191.5
35 191.5
36 191.5
37 191.5
38 191.5
39 191.5
40 191.5
41 191.5
42 191.5
43 191.5
44 191.5
45 191.5
46 191.5
47 191.5
48 191.5
49 191.5
50 191.5
51 191.5
52 191.5
53 191.5
54 191.5
55 191.5
56 191.5
57 191.5
58 191.5
59 191.5
60 191.5
61 191.5
62 191.5
63 191.5
64 191.5
65 191.5
66 191.5
67 191.5
68 191.5
69 191.5
70 191.5
71 191.5
72 191.5
73 191.5
74 191.5
75 191.5
76 191.5
77 191.5
78 191.5
79 191.5
80 191.5
